seed1	3203395597
seed2	3737844653
num_generations	1000
num_sites	2e+08
num_populations	2
init_mse	0
prev_sim_sample	0
compact_type	compact_all
compact_interval	100
device	0

number of time samples	2
time sample	0		1
generation	20000		21000
number of mutations reported	5221		16682
total number of mutations generated	5221		404902
(19989,0,121,0)	10	0	0	0
(19989,0,126,0)	3	0	0	0
(19989,0,137,0)	11	0	0	0
(19989,0,148,0)	0	7	0	0
(19989,0,156,0)	3	0	0	0
(19989,0,157,0)	6	0	0	0
(19989,0,167,0)	7	0	0	0
(19989,0,173,0)	3	0	0	0
(19989,0,182,0)	1	0	0	0
(19989,0,188,0)	1	0	0	0
(19989,0,195,0)	2	0	0	0
(19989,1,0,0)	0	1	0	0
(19989,1,7,0)	0	2	0	0
(19989,1,30,0)	0	1	0	0
(19989,1,33,0)	0	1	0	0
(19989,1,34,0)	4	7	1000	1000
(19989,1,38,0)	0	7	0	0
(19989,1,42,0)	2	12	0	0
(19989,1,50,0)	0	2	0	0
(19989,1,59,0)	6	0	0	0
(19989,1,60,0)	2	5	0	0
(19989,1,64,0)	0	1	0	0
(19989,1,65,0)	0	12	0	0
(19989,1,70,0)	0	5	0	0
(19989,1,82,0)	0	4	0	0
(19989,1,90,0)	0	5	0	0
(19989,1,101,0)	0	7	0	0
(19989,1,104,0)	0	1	0	0
(19989,1,108,0)	0	2	0	0
(19989,1,109,0)	0	4	0	0
(19989,1,119,0)	0	3	0	0
(19989,1,120,0)	0	30	0	0
(19989,1,124,0)	0	13	0	0
(19989,1,132,0)	0	3	0	0
(19989,1,137,0)	2	10	0	0
(19989,1,142,0)	0	1	0	0
(19989,1,144,0)	0	5	1000	1000
(19989,1,149,0)	0	1	1000	1000
(19989,1,158,0)	0	2	0	0
(19989,1,164,0)	1	17	0	0
(19989,1,171,0)	0	11	0	0
(19989,1,177,0)	0	2	0	0
(19989,1,180,0)	0	3	0	0
(19989,1,182,0)	0	9	0	0
(19989,1,188,0)	0	10	802	930
(19989,1,194,0)	0	16	0	0
(19990,0,0,0)	3	0	0	0
(19990,0,6,0)	12	0	0	0
(19990,0,7,0)	5	0	0	0
(19990,0,8,0)	10	11	1000	1000
(19990,0,24,0)	3	0	0	0
(19990,0,26,0)	20	0	909	936
(19990,0,33,0)	8	0	0	0
(19990,0,36,0)	2	0	0	0
(19990,0,47,0)	9	0	811	980
(19990,0,54,0)	6	0	0	0
(19990,0,56,0)	1	14	0	0
(19990,0,65,0)	9	0	0	0
(19990,0,67,0)	0	13	0	0
(19990,0,81,0)	3	0	0	0
(19990,0,99,0)	4	0	0	0
(19990,0,126,0)	0	6	0	0
(19990,0,131,0)	3	0	0	0
(19990,0,135,0)	4	0	0	0
(19990,0,151,0)	12	0	0	0
(19990,0,153,0)	6	0	0	0
(19990,0,158,0)	2	0	0	0
(19990,0,179,0)	1	0	0	0
(19990,1,2,0)	1	0	0	0
(19990,1,7,0)	0	5	0	0
(19990,1,17,0)	0	4	0	0
(19990,1,21,0)	0	1	0	0
(19990,1,23,0)	0	2	0	0
(19990,1,30,0)	0	4	920	983
(19990,1,35,0)	0	12	0	0
(19990,1,36,0)	0	9	0	0
(19990,1,38,0)	0	1	0	0
(19990,1,40,0)	0	8	0	0
(19990,1,41,0)	2	0	0	0
(19990,1,49,0)	0	3	0	0
(19990,1,61,0)	0	1	0	0
(19990,1,66,0)	0	1	0	0
(19990,1,78,0)	0	29	0	0
(19990,1,82,0)	0	23	0	0
(19990,1,89,0)	0	3	0	0
(19990,1,91,0)	0	24	993	1000
(19990,1,93,0)	0	11	788	959
(19990,1,98,0)	0	2	0	0
(19990,1,104,0)	0	1	0	0
(19990,1,107,0)	0	5	1000	1000
(19990,1,123,0)	1	22	645	916
(19990,1,124,0)	0	9	0	0
(19990,1,129,0)	0	5	0	0
(19990,1,135,0)	0	3	0	0
(19990,1,146,0)	0	2	0	0
(19990,1,148,0)	0	11	0	0
(19990,1,152,0)	8	0	0	0
(19990,1,157,0)	0	6	0	0
(19990,1,170,0)	0	1	0	0
(19990,1,171,0)	0	3	0	0
(19990,1,176,0)	0	6	0	0
(19990,1,180,0)	0	1	0	0
(19991,0,2,0)	5	0	0	0
(19991,0,6,0)	6	0	0	0
(19991,0,14,0)	1	0	0	0
(19991,0,16,0)	0	1	0	0
(19991,0,31,0)	9	0	0	0
(19991,0,32,0)	1	0	0	0
(19991,0,34,0)	1	0	0	0
(19991,0,45,0)	5	0	0	0
(19991,0,46,0)	9	0	0	0
(19991,0,52,0)	10	0	0	0
(19991,0,54,0)	5	0	0	0
(19991,0,58,0)	7	0	0	0
(19991,0,60,0)	1	0	0	0
(19991,0,68,0)	6	0	0	0
(19991,0,72,0)	5	0	689	934
(19991,0,85,0)	16	0	0	0
(19991,0,87,0)	7	0	0	0
(19991,0,91,0)	6	0	0	0
(19991,0,95,0)	12	0	914	986
(19991,0,99,0)	6	0	0	0
(19991,0,108,0)	1	0	0	0
(19991,0,117,0)	1	0	0	0
(19991,0,130,0)	7	0	0	0
(19991,0,131,0)	8	0	0	0
(19991,0,132,0)	1	0	0	0
(19991,0,136,0)	1	6	0	0
(19991,0,139,0)	7	0	0	0
(19991,0,142,0)	14	1	0	0
(19991,0,147,0)	1	0	0	0
(19991,0,155,0)	1	0	0	0
(19991,0,159,0)	0	7	1000	1000
(19991,0,172,0)	5	0	0	0
(19991,0,173,0)	0	3	0	0
(19991,0,182,0)	10	0	0	0
(19991,0,183,0)	4	0	0	0
(19991,0,194,0)	11	0	0	0
(19991,0,199,0)	1	1	0	0
(19991,0,212,0)	6	0	0	0
(19991,0,213,0)	2	0	0	0
(19991,1,8,0)	0	9	0	0
(19991,1,14,0)	0	3	0	0
(19991,1,16,0)	0	1	0	0
(19991,1,20,0)	0	12	0	0
(19991,1,22,0)	0	1	0	0
(19991,1,26,0)	0	3	0	0
(19991,1,32,0)	0	4	0	0
(19991,1,33,0)	0	13	0	0
(19991,1,34,0)	1	7	1000	1000
(19991,1,36,0)	3	0	0	0
(19991,1,55,0)	0	6	952	982
(19991,1,68,0)	0	5	0	0
(19991,1,76,0)	0	1	0	0
(19991,1,78,0)	0	6	0	0
(19991,1,83,0)	4	10	0	0
(19991,1,85,0)	0	7	0	0
(19991,1,87,0)	0	3	0	0
(19991,1,89,0)	0	6	0	0
(19991,1,90,0)	0	4	0	0
(19991,1,91,0)	0	5	0	0
(19991,1,97,0)	0	25	1000	957
(19991,1,107,0)	0	1	0	0
(19991,1,114,0)	0	4	0	0
(19991,1,115,0)	1	2	0	0
(19991,1,119,0)	0	2	0	0
(19991,1,121,0)	0	2	0	0
(19991,1,124,0)	0	4	0	0
(19991,1,129,0)	0	6	0	0
(19991,1,135,0)	0	11	0	0
(19991,1,136,0)	3	11	0	0
(19991,1,138,0)	0	1	0	0
(19991,1,141,0)	9	1	0	0
(19991,1,143,0)	0	1	0	0
(19991,1,144,0)	0	4	0	0
(19991,1,146,0)	0	8	0	0
(19991,1,152,0)	0	2	0	0
(19991,1,153,0)	0	5	0	0
(19991,1,163,0)	0	3	0	0
(19991,1,164,0)	0	3	0	0
(19991,1,171,0)	0	2	0	0
(19991,1,188,0)	0	5	0	0
(19992,0,4,0)	3	0	0	0
(19992,0,14,0)	1	3	0	0
(19992,0,15,0)	4	0	0	0
(19992,0,26,0)	0	3	1000	1000
(19992,0,27,0)	2	4	952	995
(19992,0,28,0)	1	0	0	0
(19992,0,37,0)	3	0	0	0
(19992,0,42,0)	3	0	997	990
(19992,0,43,0)	5	0	0	0
(19992,0,46,0)	1	0	0	0
(19992,0,54,0)	3	0	0	0
(19992,0,55,0)	10	0	0	0
(19992,0,59,0)	6	0	0	0
(19992,0,64,0)	3	0	0	0
(19992,0,65,0)	3	0	0	0
(19992,0,76,0)	1	0	0	0
(19992,0,85,0)	11	0	0	0
(19992,0,89,0)	2	0	0	0
(19992,0,91,0)	2	3	0	0
(19992,0,109,0)	3	0	0	0
(19992,0,111,0)	2	0	0	0
(19992,0,114,0)	1	0	0	0
(19992,0,122,0)	9	0	0	0
(19992,0,123,0)	4	0	0	0
(19992,0,129,0)	1	0	0	0
(19992,0,133,0)	4	0	0	0
(19992,0,136,0)	8	0	0	0
(19992,0,137,0)	4	0	0	0
(19992,0,140,0)	7	0	0	0
(19992,0,145,0)	11	0	0	0
(19992,0,151,0)	14	0	0	0
(19992,0,152,0)	6	0	0	0
(19992,0,168,0)	1	0	0	0
(19992,0,170,0)	2	1	0	0
(19992,0,172,0)	7	0	0	0
(19992,0,175,0)	3	0	0	0
(19992,0,185,0)	2	1	0	0
(19992,0,186,0)	3	0	0	0
(19992,0,188,0)	1	0	0	0
(19992,0,193,0)	6	0	0	0
(19992,1,13,0)	0	10	0	0
(19992,1,22,0)	0	1	0	0
(19992,1,34,0)	0	3	0	0
(19992,1,35,0)	0	8	0	0
(19992,1,38,0)	0	8	0	0
(19992,1,49,0)	0	16	988	946
(19992,1,52,0)	0	6	0	0
(19992,1,64,0)	0	1	0	0
(19992,1,70,0)	0	7	1000	1000
(19992,1,78,0)	0	3	0	0
(19992,1,81,0)	0	1	0	0
(19992,1,99,0)	0	1	0	0
(19992,1,100,0)	0	6	0	0
(19992,1,103,0)	0	3	0	0
(19992,1,105,0)	0	4	0	0
(19992,1,119,0)	0	4	0	0
(19992,1,124,0)	0	12	0	0
(19992,1,130,0)	0	11	1000	1000
(19992,1,157,0)	0	2	0	0
(19992,1,161,0)	0	2	0	0
(19992,1,162,0)	0	2	0	0
(19992,1,166,0)	0	4	0	0
(19992,1,171,0)	0	3	0	0
(19992,1,173,0)	0	1	0	0
(19992,1,175,0)	0	3	0	0
(19992,1,180,0)	0	3	0	0
(19992,1,183,0)	0	4	1000	1000
(19992,1,188,0)	0	4	1000	1000
(19992,1,192,0)	0	1	0	0
(19992,1,193,0)	0	3	961	997
(19993,0,0,0)	5	0	0	0
(19993,0,2,0)	1	0	0	0
(19993,0,3,0)	4	0	0	0
(19993,0,10,0)	5	0	0	0
(19993,0,13,0)	1	0	0	0
(19993,0,15,0)	10	0	0	0
(19993,0,17,0)	6	0	0	0
(19993,0,18,0)	1	0	0	0
(19993,0,29,0)	2	0	0	0
(19993,0,30,0)	6	0	0	0
(19993,0,32,0)	6	0	0	0
(19993,0,37,0)	3	0	0	0
(19993,0,39,0)	2	0	0	0
(19993,0,40,0)	7	0	894	979
(19993,0,43,0)	13	0	0	0
(19993,0,44,0)	15	0	0	0
(19993,0,53,0)	12	0	0	0
(19993,0,55,0)	2	0	0	0
(19993,0,57,0)	2	0	0	0
(19993,0,63,0)	1	0	0	0
(19993,0,64,0)	13	0	865	970
(19993,0,69,0)	2	0	0	0
(19993,0,73,0)	2	0	0	0
(19993,0,77,0)	8	0	1000	1000
(19993,0,86,0)	11	0	0	0
(19993,0,87,0)	3	0	0	0
(19993,0,88,0)	1	0	0	0
(19993,0,90,0)	1	1	0	0
(19993,0,92,0)	9	0	0	0
(19993,0,97,0)	2	0	0	0
(19993,0,99,0)	1	0	0	0
(19993,0,102,0)	1	0	0	0
(19993,0,110,0)	4	0	0	0
(19993,0,116,0)	2	0	0	0
(19993,0,122,0)	8	0	0	0
(19993,0,125,0)	6	0	0	0
(19993,0,129,0)	3	0	0	0
(19993,0,134,0)	1	0	0	0
(19993,0,145,0)	1	0	0	0
(19993,0,153,0)	3	0	0	0
(19993,0,155,0)	7	0	948	994
(19993,0,159,0)	3	0	0	0
(19993,0,164,0)	2	0	0	0
(19993,0,166,0)	1	0	0	0
(19993,0,169,0)	5	0	0	0
(19993,0,183,0)	2	0	0	0
(19993,0,184,0)	1	0	0	0
(19993,0,186,0)	2	0	0	0
(19993,0,187,0)	2	0	0	0
(19993,0,197,0)	3	0	0	0
(19993,0,198,0)	3	0	0	0
(19993,1,7,0)	0	6	0	0
(19993,1,10,0)	1	6	669	934
(19993,1,11,0)	0	5	0	0
(19993,1,15,0)	0	1	0	0
(19993,1,16,0)	0	2	0	0
(19993,1,18,0)	0	2	0	0
(19993,1,21,0)	0	6	0	0
(19993,1,23,0)	0	2	0	0
(19993,1,27,0)	0	4	0	0
(19993,1,36,0)	0	8	0	0
(19993,1,37,0)	0	2	0	0
(19993,1,40,0)	0	2	0	0
(19993,1,47,0)	0	3	0	0
(19993,1,54,0)	0	5	0	0
(19993,1,57,0)	0	1	0	0
(19993,1,60,0)	5	1	0	0
(19993,1,63,0)	0	13	0	0
(19993,1,74,0)	0	1	0	0
(19993,1,78,0)	0	3	0	0
(19993,1,83,0)	0	8	0	0
(19993,1,86,0)	0	2	0	0
(19993,1,92,0)	0	4	943	989
(19993,1,104,0)	0	14	0	0
(19993,1,107,0)	0	4	0	0
(19993,1,108,0)	0	5	0	0
(19993,1,114,0)	0	1	0	0
(19993,1,118,0)	0	2	0	0
(19993,1,128,0)	0	1	0	0
(19993,1,132,0)	0	1	0	0
(19993,1,138,0)	0	1	0	0
(19993,1,139,0)	0	9	0	0
(19993,1,152,0)	0	4	421	823
(19993,1,160,0)	0	1	0	0
(19993,1,161,0)	0	5	0	0
(19994,0,6,0)	7	0	0	0
(19994,0,13,0)	4	0	0	0
(19994,0,14,0)	4	0	755	940
(19994,0,17,0)	6	0	0	0
(19994,0,29,0)	2	0	0	0
(19994,0,35,0)	2	0	0	0
(19994,0,38,0)	2	0	0	0
(19994,0,42,0)	3	0	0	0
(19994,0,49,0)	2	0	0	0
(19994,0,51,0)	2	0	0	0
(19994,0,53,0)	1	0	0	0
(19994,0,54,0)	6	3	0	0
(19994,0,55,0)	1	0	0	0
(19994,0,57,0)	6	0	0	0
(19994,0,59,0)	1	0	0	0
(19994,0,61,0)	4	0	1000	1000
(19994,0,62,0)	4	0	0	0
(19994,0,63,0)	5	0	0	0
(19994,0,65,0)	4	0	0	0
(19994,0,69,0)	5	0	0	0
(19994,0,76,0)	3	2	0	0
(19994,0,79,0)	9	0	1000	1000
(19994,0,83,0)	1	0	0	0
(19994,0,85,0)	1	0	0	0
(19994,0,91,0)	1	1	0	0
(19994,0,95,0)	5	0	0	0
(19994,0,96,0)	4	2	0	0
(19994,0,97,0)	4	0	0	0
(19994,0,98,0)	3	0	0	0
(19994,0,102,0)	3	0	0	0
(19994,0,104,0)	3	0	0	0
(19994,0,105,0)	2	0	0	0
(19994,0,106,0)	7	0	0	0
(19994,0,107,0)	1	0	0	0
(19994,0,108,0)	1	0	0	0
(19994,0,110,0)	1	0	0	0
(19994,0,118,0)	5	0	0	0
(19994,0,126,0)	2	0	0	0
(19994,0,129,0)	13	0	0	0
(19994,0,130,0)	16	1	1000	1000
(19994,0,134,0)	3	0	0	0
(19994,0,145,0)	3	0	0	0
(19994,0,153,0)	5	0	0	0
(19994,0,154,0)	9	0	865	975
(19994,0,158,0)	2	0	0	0
(19994,0,159,0)	7	0	0	0
(19994,0,160,0)	4	0	877	983
(19994,0,161,0)	7	0	0	0
(19994,0,164,0)	4	0	0	0
(19994,0,166,0)	8	0	1000	1000
(19994,0,172,0)	8	0	0	0
(19994,0,177,0)	4	0	0	0
(19994,0,178,0)	12	0	0	0
(19994,1,0,0)	0	1	0	0
(19994,1,3,0)	0	3	0	0
(19994,1,4,0)	1	4	0	0
(19994,1,17,0)	0	1	0	0
(19994,1,27,0)	0	2	0	0
(19994,1,30,0)	0	9	1000	1000
(19994,1,34,0)	0	3	0	0
(19994,1,36,0)	0	5	0	0
(19994,1,43,0)	0	10	0	0
(19994,1,48,0)	0	1	0	0
(19994,1,55,0)	0	8	0	0
(19994,1,57,0)	0	1	0	0
(19994,1,58,0)	0	1	0	0
(19994,1,68,0)	0	2	0	0
(19994,1,69,0)	0	9	0	0
(19994,1,70,0)	0	2	0	0
(19994,1,71,0)	0	10	0	0
(19994,1,75,0)	1	3	0	0
(19994,1,77,0)	0	4	578	902
(19994,1,86,0)	0	1	0	0
(19994,1,90,0)	0	16	0	0
(19994,1,91,0)	0	5	0	0
(19994,1,94,0)	0	4	0	0
(19994,1,102,0)	0	13	0	0
(19994,1,104,0)	0	6	0	0
(19994,1,110,0)	1	10	0	0
(19994,1,114,0)	0	2	0	0
(19994,1,126,0)	0	5	0	0
(19994,1,129,0)	0	6	0	0
(19994,1,135,0)	0	1	0	0
(19994,1,139,0)	0	5	0	0
(19994,1,146,0)	0	1	0	0
(19994,1,161,0)	0	5	0	0
(19994,1,163,0)	0	6	0	0
(19994,1,165,0)	0	6	0	0
(19994,1,166,0)	0	5	0	0
(19994,1,170,0)	0	3	0	0
(19994,1,173,0)	0	10	1000	1000
(19994,1,175,0)	0	1	0	0
(19994,1,179,0)	0	3	0	0
(19994,1,187,0)	0	1	0	0
(19994,1,189,0)	0	4	0	0
(19995,0,4,0)	1	0	0	0
(19995,0,5,0)	2	0	0	0
(19995,0,10,0)	2	0	0	0
(19995,0,11,0)	1	0	0	0
(19995,0,12,0)	4	0	0	0
(19995,0,15,0)	3	0	0	0
(19995,0,18,0)	6	0	0	0
(19995,0,21,0)	1	0	0	0
(19995,0,23,0)	2	0	0	0
(19995,0,25,0)	3	0	0	0
(19995,0,29,0)	9	0	0	0
(19995,0,30,0)	7	0	0	0
(19995,0,32,0)	4	0	0	0
(19995,0,40,0)	2	0	0	0
(19995,0,45,0)	7	0	0	0
(19995,0,52,0)	3	0	0	0
(19995,0,55,0)	3	0	0	0
(19995,0,63,0)	5	0	0	0
(19995,0,65,0)	1	0	0	0
(19995,0,67,0)	2	0	0	0
(19995,0,75,0)	3	0	0	0
(19995,0,80,0)	3	0	0	0
(19995,0,95,0)	5	0	0	0
(19995,0,96,0)	11	0	0	0
(19995,0,101,0)	1	0	0	0
(19995,0,103,0)	7	2	0	0
(19995,0,105,0)	5	0	0	0
(19995,0,107,0)	13	0	0	0
(19995,0,108,0)	2	0	0	0
(19995,0,109,0)	2	0	0	0
(19995,0,110,0)	3	0	0	0
(19995,0,114,0)	5	0	839	981
(19995,0,118,0)	20	0	0	0
(19995,0,121,0)	2	0	0	0
(19995,0,122,0)	3	0	0	0
(19995,0,124,0)	2	0	0	0
(19995,0,128,0)	9	0	0	0
(19995,0,131,0)	1	0	0	0
(19995,0,134,0)	1	0	0	0
(19995,0,147,0)	4	0	0	0
(19995,0,148,0)	1	0	0	0
(19995,0,151,0)	2	0	0	0
(19995,0,156,0)	1	0	0	0
(19995,0,160,0)	1	0	0	0
(19995,0,163,0)	4	0	0	0
(19995,0,164,0)	8	1	745	968
(19995,0,168,0)	3	0	0	0
(19995,0,169,0)	5	0	1000	1000
(19995,0,170,0)	2	0	0	0
(19995,0,171,0)	3	0	0	0
(19995,0,174,0)	1	0	0	0
(19995,0,178,0)	5	0	0	0
(19995,0,186,0)	3	1	0	0
(19995,0,191,0)	3	1	0	0
(19995,0,195,0)	1	0	0	0
(19995,0,197,0)	5	0	0	0
(19995,1,0,0)	0	5	0	0
(19995,1,5,0)	0	3	0	0
(19995,1,6,0)	0	10	1000	1000
(19995,1,9,0)	0	1	0	0
(19995,1,15,0)	0	2	0	0
(19995,1,17,0)	0	4	0	0
(19995,1,18,0)	0	1	0	0
(19995,1,23,0)	0	5	0	0
(19995,1,24,0)	0	2	0	0
(19995,1,27,0)	0	6	0	0
(19995,1,29,0)	0	1	0	0
(19995,1,32,0)	0	2	0	0
(19995,1,37,0)	0	5	0	0
(19995,1,40,0)	0	4	0	0
(19995,1,54,0)	0	6	0	0
(19995,1,55,0)	0	3	0	0
(19995,1,57,0)	0	10	0	0
(19995,1,58,0)	0	3	1000	1000
(19995,1,64,0)	0	3	0	0
(19995,1,65,0)	0	10	1000	1000
(19995,1,67,0)	0	4	0	0
(19995,1,70,0)	0	9	1000	1000
(19995,1,78,0)	0	1	0	0
(19995,1,91,0)	0	2	0	0
(19995,1,94,0)	0	6	0	0
(19995,1,101,0)	0	2	0	0
(19995,1,105,0)	0	12	0	0
(19995,1,106,0)	0	7	0	0
(19995,1,107,0)	0	6	0	0
(19995,1,109,0)	0	4	0	0
(19995,1,112,0)	0	2	0	0
(19995,1,113,0)	0	1	0	0
(19995,1,115,0)	0	1	0	0
(19995,1,130,0)	0	3	0	0
(19995,1,133,0)	0	2	0	0
(19995,1,137,0)	0	1	0	0
(19995,1,138,0)	0	2	0	0
(19995,1,144,0)	0	2	0	0
(19995,1,145,0)	0	4	0	0
(19995,1,149,0)	0	2	0	0
(19995,1,152,0)	0	1	0	0
(19995,1,160,0)	0	5	823	975
(19995,1,170,0)	0	3	0	0
(19995,1,178,0)	0	1	0	0
(19995,1,180,0)	0	2	0	0
(19995,1,181,0)	0	2	0	0
(19995,1,187,0)	0	2	0	0
(19995,1,205,0)	0	1	0	0
(19995,1,209,0)	0	1	0	0
(19996,0,5,0)	3	0	0	0
(19996,0,11,0)	1	0	0	0
(19996,0,14,0)	1	0	0	0
(19996,0,18,0)	2	0	0	0
(19996,0,20,0)	4	0	0	0
(19996,0,22,0)	2	0	0	0
(19996,0,24,0)	4	0	0	0
(19996,0,26,0)	2	0	0	0
(19996,0,30,0)	2	0	0	0
(19996,0,32,0)	1	0	0	0
(19996,0,33,0)	4	0	0	0
(19996,0,34,0)	3	0	0	0
(19996,0,35,0)	5	0	0	0
(19996,0,46,0)	2	0	0	0
(19996,0,51,0)	1	1	0	0
(19996,0,53,0)	6	0	0	0
(19996,0,55,0)	5	0	0	0
(19996,0,61,0)	5	0	1000	1000
(19996,0,70,0)	6	0	0	0
(19996,0,71,0)	3	0	0	0
(19996,0,77,0)	5	0	0	0
(19996,0,82,0)	10	0	0	0
(19996,0,85,0)	3	0	0	0
(19996,0,88,0)	2	0	0	0
(19996,0,89,0)	5	0	0	0
(19996,0,91,0)	2	0	0	0
(19996,0,96,0)	4	0	0	0
(19996,0,97,0)	11	0	0	0
(19996,0,98,0)	1	0	0	0
(19996,0,106,0)	2	0	0	0
(19996,0,107,0)	2	0	0	0
(19996,0,109,0)	3	0	0	0
(19996,0,110,0)	10	0	988	999
(19996,0,113,0)	1	0	0	0
(19996,0,114,0)	1	0	0	0
(19996,0,117,0)	3	0	0	0
(19996,0,119,0)	4	0	0	0
(19996,0,120,0)	7	0	1000	987
(19996,0,124,0)	5	0	0	0
(19996,0,128,0)	1	0	0	0
(19996,0,129,0)	2	0	0	0
(19996,0,139,0)	3	0	0	0
(19996,0,148,0)	1	0	0	0
(19996,0,155,0)	2	0	0	0
(19996,0,156,0)	2	0	0	0
(19996,0,158,0)	1	0	0	0
(19996,0,159,0)	2	0	0	0
(19996,0,160,0)	2	0	0	0
(19996,0,162,0)	2	0	0	0
(19996,0,166,0)	2	0	0	0
(19996,0,171,0)	1	0	0	0
(19996,0,172,0)	1	0	0	0
(19996,0,175,0)	2	0	0	0
(19996,0,178,0)	2	0	0	0
(19996,0,181,0)	1	0	0	0
(19996,1,11,0)	0	1	0	0
(19996,1,16,0)	0	1	0	0
(19996,1,20,0)	0	2	0	0
(19996,1,23,0)	0	4	0	0
(19996,1,29,0)	0	2	0	0
(19996,1,30,0)	0	6	0	0
(19996,1,31,0)	0	2	0	0
(19996,1,34,0)	0	3	0	0
(19996,1,37,0)	0	7	0	0
(19996,1,42,0)	0	7	0	0
(19996,1,47,0)	0	1	0	0
(19996,1,48,0)	0	4	0	0
(19996,1,51,0)	1	2	0	0
(19996,1,52,0)	0	1	0	0
(19996,1,57,0)	0	7	0	0
(19996,1,58,0)	0	2	0	0
(19996,1,62,0)	0	2	0	0
(19996,1,64,0)	0	1	0	0
(19996,1,67,0)	0	1	0	0
(19996,1,70,0)	1	4	849	818
(19996,1,71,0)	0	6	0	0
(19996,1,73,0)	0	3	0	0
(19996,1,75,0)	0	1	0	0
(19996,1,81,0)	0	2	0	0
(19996,1,86,0)	0	8	0	0
(19996,1,88,0)	0	2	0	0
(19996,1,95,0)	0	1	0	0
(19996,1,96,0)	0	1	0	0
(19996,1,100,0)	0	8	925	952
(19996,1,103,0)	0	3	0	0
(19996,1,108,0)	0	3	0	0
(19996,1,111,0)	0	1	0	0
(19996,1,117,0)	0	2	0	0
(19996,1,118,0)	0	3	0	0
(19996,1,133,0)	0	5	872	928
(19996,1,137,0)	0	2	0	0
(19996,1,144,0)	0	4	0	0
(19996,1,151,0)	0	2	0	0
(19996,1,154,0)	0	1	0	0
(19996,1,155,0)	1	3	0	0
(19996,1,156,0)	0	1	0	0
(19996,1,158,0)	0	2	876	988
(19996,1,168,0)	0	1	0	0
(19996,1,169,0)	0	4	0	0
(19996,1,172,0)	0	5	0	0
(19996,1,173,0)	0	4	1000	1000
(19996,1,174,0)	0	4	0	0
(19996,1,176,0)	1	3	931	996
(19996,1,177,0)	0	7	0	0
(19996,1,188,0)	0	1	0	0
(19996,1,196,0)	0	6	972	991
(19996,1,198,0)	3	1	0	0
(19997,0,0,0)	1	0	0	0
(19997,0,3,0)	2	0	0	0
(19997,0,6,0)	2	0	0	0
(19997,0,9,0)	2	0	0	0
(19997,0,10,0)	1	0	946	938
(19997,0,13,0)	1	0	0	0
(19997,0,14,0)	1	0	0	0
(19997,0,17,0)	1	0	0	0
(19997,0,18,0)	2	0	0	0
(19997,0,23,0)	5	0	0	0
(19997,0,24,0)	2	0	0	0
(19997,0,25,0)	9	0	0	0
(19997,0,26,0)	3	0	0	0
(19997,0,30,0)	1	0	0	0
(19997,0,33,0)	3	0	0	0
(19997,0,45,0)	2	1	0	0
(19997,0,47,0)	2	0	0	0
(19997,0,49,0)	2	0	0	0
(19997,0,56,0)	4	1	0	0
(19997,0,57,0)	2	0	0	0
(19997,0,65,0)	1	0	0	0
(19997,0,66,0)	5	0	0	0
(19997,0,73,0)	4	0	986	999
(19997,0,77,0)	7	0	0	0
(19997,0,78,0)	1	0	0	0
(19997,0,81,0)	2	0	0	0
(19997,0,84,0)	3	0	0	0
(19997,0,85,0)	7	0	0	0
(19997,0,87,0)	4	0	0	0
(19997,0,90,0)	3	0	0	0
(19997,0,97,0)	1	0	0	0
(19997,0,99,0)	2	0	0	0
(19997,0,101,0)	0	1	0	0
(19997,0,102,0)	2	0	0	0
(19997,0,103,0)	3	0	0	0
(19997,0,108,0)	2	0	0	0
(19997,0,109,0)	2	0	0	0
(19997,0,112,0)	3	0	0	0
(19997,0,113,0)	5	0	0	0
(19997,0,118,0)	2	0	0	0
(19997,0,129,0)	6	0	0	0
(19997,0,131,0)	2	0	0	0
(19997,0,134,0)	2	0	0	0
(19997,0,135,0)	2	0	1000	989
(19997,0,136,0)	4	0	0	0
(19997,0,141,0)	7	0	0	0
(19997,0,142,0)	2	0	0	0
(19997,0,144,0)	4	0	0	0
(19997,0,145,0)	5	0	0	0
(19997,0,147,0)	8	0	0	0
(19997,0,148,0)	2	0	0	0
(19997,0,151,0)	2	0	0	0
(19997,0,152,0)	1	0	0	0
(19997,0,161,0)	2	0	0	0
(19997,0,164,0)	1	0	0	0
(19997,0,165,0)	6	0	0	0
(19997,0,168,0)	1	0	0	0
(19997,0,170,0)	1	0	0	0
(19997,0,172,0)	3	0	0	0
(19997,0,173,0)	2	0	0	0
(19997,0,176,0)	3	0	0	0
(19997,0,177,0)	1	0	0	0
(19997,0,178,0)	5	0	0	0
(19997,1,0,0)	0	6	0	0
(19997,1,1,0)	0	2	0	0
(19997,1,6,0)	0	4	1000	1000
(19997,1,7,0)	0	2	0	0
(19997,1,9,0)	0	2	0	0
(19997,1,15,0)	0	5	0	0
(19997,1,17,0)	0	5	0	0
(19997,1,19,0)	0	1	0	0
(19997,1,22,0)	0	2	0	0
(19997,1,23,0)	0	7	0	0
(19997,1,24,0)	0	4	0	0
(19997,1,25,0)	0	1	0	0
(19997,1,27,0)	0	1	0	0
(19997,1,28,0)	0	3	0	0
(19997,1,30,0)	0	1	0	0
(19997,1,31,0)	0	1	0	0
(19997,1,33,0)	0	3	0	0
(19997,1,34,0)	0	1	0	0
(19997,1,35,0)	0	4	0	0
